,ARS,지하철역
650,3142,효창공원앞
651,3143,효창공원앞
652,3144,효창공원앞
653,3145,효창공원앞
654,3146,효창공원앞
655,3147,효창공원앞
656,3148,녹사평(용산구청)
657,3149,녹사평(용산구청)
658,3150,녹사평(용산구청)
659,3151,녹사평(용산구청)
660,3152,녹사평(용산구청)
661,3153,이태원
662,3154,이태원
663,3155,이태원
664,3156,이태원
665,3157,이촌(국립중앙박물관)
666,3158,버티고개
667,3159,한강진
668,3160,한강진
669,3161,한강진
670,3162,한강진
671,3163,한강진
672,3164,한강진
673,3165,한강진
674,3166,한강진
675,3167,회현(남대문시장)
676,3168,회현(남대문시장)
677,3169,숙대입구(갈월)
678,3170,숙대입구(갈월)
679,3171,숙대입구(갈월)
680,3172,숙대입구(갈월)
681,3173,한강진
682,3174,한강진
683,3175,한강진
684,3176,한강진
685,3177,효창공원앞
686,3178,효창공원앞
687,3179,효창공원앞
688,3180,효창공원앞
689,3181,효창공원앞
690,3182,효창공원앞
691,3183,효창공원앞
692,3184,삼각지
693,3185,삼각지
694,3186,녹사평(용산구청)
695,3187,녹사평(용산구청)
696,3188,이태원
697,3189,녹사평(용산구청)
698,3190,이태원
699,3191,이태원
700,3192,이태원
701,3193,이태원
702,3194,한강진
703,3195,한강진
704,3196,한강진
705,3197,한강진
706,3198,서울역
707,3199,서울역
708,3200,숙대입구(갈월)
709,3201,숙대입구(갈월)
710,3202,숙대입구(갈월)
711,3203,숙대입구(갈월)
712,3204,숙대입구(갈월)
713,3205,숙대입구(갈월)
714,3206,숙대입구(갈월)
715,3207,숙대입구(갈월)
716,3208,숙대입구(갈월)
717,3209,숙대입구(갈월)
718,3210,옥수
719,3211,옥수
720,3212,한강진
721,3213,한강진
722,3214,이촌(국립중앙박물관)
723,3215,이촌(국립중앙박물관)
724,3216,이촌(국립중앙박물관)
725,3217,이촌(국립중앙박물관)
726,3218,이촌(국립중앙박물관)
727,3219,이촌(국립중앙박물관)
728,3220,이촌(국립중앙박물관)
729,3221,이촌(국립중앙박물관)
730,3222,이촌(국립중앙박물관)
731,3223,이촌(국립중앙박물관)
732,3224,이촌(국립중앙박물관)
733,3225,이촌(국립중앙박물관)
734,3226,이촌(국립중앙박물관)
735,3227,애오개
736,3228,서울역
737,3229,숙대입구(갈월)
738,3230,숙대입구(갈월)
739,3231,숙대입구(갈월)
740,3232,숙대입구(갈월)
741,3233,효창공원앞
742,3234,숙대입구(갈월)
743,3235,효창공원앞
744,3236,효창공원앞
745,3237,효창공원앞
746,3238,효창공원앞
747,3239,효창공원앞
748,3240,효창공원앞
749,3241,효창공원앞
750,3242,효창공원앞
751,3243,효창공원앞
752,3244,효창공원앞
753,3245,효창공원앞
754,3246,효창공원앞
755,3247,효창공원앞
756,3248,효창공원앞
757,3249,효창공원앞
758,3250,효창공원앞
759,3251,신용산
760,3252,신용산
761,3253,신용산
762,3255,신용산
763,3256,신용산
764,3257,신용산
765,3258,신용산
766,3259,신용산
767,3260,신용산
768,3261,이촌(국립중앙박물관)
769,3262,이촌(국립중앙박물관)
770,3263,이촌(국립중앙박물관)
771,3264,이촌(국립중앙박물관)
772,3265,이촌(국립중앙박물관)
773,3266,이촌(국립중앙박물관)
774,3267,이촌(국립중앙박물관)
775,3268,이촌(국립중앙박물관)
776,3269,이태원
777,3270,이촌(국립중앙박물관)
778,3272,이촌(국립중앙박물관)
779,3273,이태원
780,3274,이태원
781,3275,이태원
782,3276,이태원
783,3277,이태원
784,3278,이태원
785,3279,이태원
786,3280,이태원
787,3281,이태원
788,3282,이태원
789,3283,이태원
790,3284,이태원
791,3285,이태원
792,3286,이태원
793,3287,마포
794,3288,마포
795,3289,마포
796,3290,신용산
797,3291,신용산
798,3292,신용산
799,3293,신용산
800,3294,신용산
801,3295,신용산
802,3296,마포
803,3297,마포
804,3298,마포
805,3299,마포
806,3300,마포
807,3301,마포
808,3302,마포
809,3303,효창공원앞
810,3304,마포
811,3305,마포
812,3306,마포
813,3307,마포
814,3308,효창공원앞
815,3309,효창공원앞
816,3310,효창공원앞
817,3311,효창공원앞
818,3312,효창공원앞
819,3313,효창공원앞
820,3319,한강진
821,3320,충무로
822,3321,마포
823,3322,마포
824,3323,이태원
825,3324,이태원
826,3325,이촌(국립중앙박물관)
827,3326,삼각지
828,3327,숙대입구(갈월)
829,3328,삼각지
830,3330,숙대입구(갈월)
831,3331,효창공원앞
832,3332,삼각지
833,3334,한강진
834,3335,숙대입구(갈월)
835,3336,이촌(국립중앙박물관)
836,3338,신용산
837,3339,신용산
838,3340,신용산
839,3341,이촌(국립중앙박물관)
840,3342,한강진
841,3343,한강진
