,역명,지하철역
392,광희문.광희동사거리,동대문역사문화공원
393,한국은행.신세계앞,회현(남대문시장)
394,서울기동대.광희초등학교,동대문
395,동대문디자인플라자,동대문역사문화공원
396,서대문역사거리.농협중앙회,서대문
397,서울스퀘어앞,서울역
398,힐튼호텔,회현(남대문시장)
399,시청앞.덕수궁,시청
400,남대문세무서.국가인권위원회,을지로3가
401,장충문화체육센터.권기옥활동터,동대입구
402,남산1호터널,충무로
403,약수역.3.6호선,약수
404,조선일보,광화문(세종문화회관)
405,시청역,시청
406,삼성프라자,시청
407,서울역,서울
408,숭례문앞,회현(남대문시장)
409,프레스센터,시청
410,신당역하나은행,신당
411,중림동입구.서소문성지역사박물관,서울
412,신금호파크자이아파트후문,신금호
413,응봉근린공원.금호산,신금호
414,서울방송고등학교.남산타운아파트,금호
415,중구청소년수련관.남산타운2상가,약수
416,약수시장.초록마을앞,약수
417,약수지구대,약수
418,롯데호텔,을지로입구
419,웨스틴조선호텔,시청
420,시청광장,시청
421,코리아나호텔,시청
422,서소문KAL빌딩,시청
423,앰배서더호텔,동대입구
424,시청덕수궁,시청
425,바비엥스위트,서대문
426,명동역.세종호텔,명동
427,충무로역.호텔피제이,충무로
428,이비스엠버서더호텔,을지로입구
429,프레이저플레이스,서대문
430,아카시아호텔.웨스턴코업레지던스,동대문역사문화공원
431,을지로코업레지던스,동대문역사문화공원
432,토요코인호텔.이비스버젯호텔,동대문역사문화공원
433,약수역,약수
434,밀레니엄힐튼호텔,회현(남대문시장)
435,라마다.스위트호텔,서울
436,서울플라자호텔,시청
437,시청.서울신문사,시청
438,프레이저플레이스남대문,회현(남대문시장)
439,더스프라지르서울동대문,동대문역사문화공원
440,베이튼호텔,동대문역사문화공원
441,덕수궁,시청
442,명동,명동
443,남산골한옥마을,충무로
444,앰버서더호텔,동대입구
445,신라호텔,동대입구
446,동대문디자인플라자.동대문시장,동대문역사문화공원
447,서울애니메이션센터,명동
448,남산케이블카,명동
449,동대문디자인프라자,동대문역사문화공원
450,방산.중부시장,을지로4가
451,을지로입구,을지로입구
452,신당동중앙시장,신당
453,남산오르미,명동
454,한강대교북단.LG유플러스,신용산
455,신용산역,신용산
456,KT용산지사,신용산
457,삼각지역,삼각지
458,숙대입구역,숙대입구(갈월)
459,갈월동,서울역
460,남영역,숙대입구(갈월)
461,신용산역3번출구,신용산
462,한강대교북단,신용산
463,서계동,서울역
464,청파동,숙대입구(갈월)
465,청파시장,숙대입구(갈월)
466,숙대입구역.청파동주민센터,숙대입구(갈월)
467,용산전자상가17동,신용산
468,용산전자상가19동,신용산
469,용산전자상가10동,신용산
470,용산전자상가12동,신용산
471,용산전자상가.전자랜드,효창공원앞
472,원효대교북단,효창공원앞
473,용산경찰서,숙대입구(갈월)
474,용산꿈나무종합타운.원효로우체국,효창공원앞
475,용산e편한세상,효창공원앞
476,남정초등학교,효창공원앞
477,원효로2가,효창공원앞
478,원효로2가사거리,효창공원앞
479,원효로3가,효창공원앞
480,용암초등학교입구.이태원주공아파트,녹사평(용산구청)
481,이태원동남산대림아파트.용산동아파트,녹사평(용산구청)
482,용산한신아파트,녹사평(용산구청)
483,해방촌,녹사평(용산구청)
484,국군재정관리단,녹사평(용산구청)
485,용산구청.크라운호텔,이태원
486,한강중학교,이태원
487,한강중학교앞,이태원
488,서빙고역1번출구,이촌(국립중앙박물관)
489,장충단로입구,버티고개
490,남산예술원,한강진
491,서울중부기술교육원.블루스퀘어,한강진
492,서울시중부기술교육원.블루스퀘어,한강진
493,순천향대학병원,한강진
494,순천향대학병원.한남오거리,한강진
495,한남5거리,한강진
496,남산도서관,회현(남대문시장)
497,후암약수터,숙대입구(갈월)
498,보성여중고입구,숙대입구(갈월)
499,남산체육관,한강진
500,하얏트호텔,한강진
501,용마루고개(서울자동차고등학교),효창공원앞
502,용마루고개.효창파크푸르지오아파트,효창공원앞
503,효창공원앞역,효창공원앞
504,용산꿈나무종합타운.보건분소,효창공원앞
505,원효로제1동주민센터,효창공원앞
506,전쟁기념관,삼각지
507,녹사평역,녹사평(용산구청)
508,용산구청.이태원시장,이태원
509,이태원역1번출구.해밀턴호텔,이태원
510,이태원역4번출구.해밀턴호텔,이태원
511,이태원119안전센터,이태원
512,한남동새마을금고,한강진
513,한남동주민센터,한강진
514,한강진역.블루스퀘어,한강진
515,후암3거리,서울역
516,후암시장,숙대입구(갈월)
517,용산중고,숙대입구(갈월)
518,후암동우리은행앞,숙대입구(갈월)
519,남영동주민센터,숙대입구(갈월)
520,남영우체국,숙대입구(갈월)
521,한남시범아파트,옥수
522,한남동,한강진
523,이촌동동부센트레빌,이촌(국립중앙박물관)
524,이촌동두산위브트레지움.한강대우아파트,이촌(국립중앙박물관)
525,이촌1동충신교회앞,이촌(국립중앙박물관)
526,이촌동한가람아파트.이촌역,이촌(국립중앙박물관)
527,이촌동한강맨션.이촌역,이촌(국립중앙박물관)
528,신용산초등학교,이촌(국립중앙박물관)
529,이촌동강촌아파트,이촌(국립중앙박물관)
