역명,상세주소,경도,위도,상태
충정로(경기대입구),서울특별시 서대문구 충정로3가 248-1 충정로역(5호선),126.963288661954,37.5607860729978,정좌표
서대문,서울특별시 종로구 평동 210 서대문역,126.966862882371,37.5661631206641,정좌표
광화문(세종문화회관),서울특별시 종로구 세종로 1-90 광화문역,126.977195305816,37.5715549537326,정좌표
종로3가(탑골공원),서울특별시 종로구 낙원동 126 종로3가역(5호선),126.989719195366,37.5725648322132,정좌표
을지로4가,서울특별시 중구 을지로4가 192 을지로4가역(5호선),126.998517142547,37.5661829683515,정좌표
동대문역사문화공원,서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),127.00557293924,37.5646368807493,정좌표
청구,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",127.013845560406,37.5603375100209,정좌표
신금호,서울특별시 성동구 금호동2가 223-1 신금호역,127.019766212891,37.554654132511004,정좌표
행당,서울특별시 성동구 행당동 317-241 행당역,127.033411594516,37.558539141665605,인근좌표
왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(5호선),127.037101978098,37.5625838056,인근좌표
마장,서울특별시 성동구 마장동 772 마장역,127.042700819191,37.566521781080496,인근좌표
답십리,서울특별시 성동구 용답동 99 답십리역,127.05225833886101,37.5668882821933,인근좌표
장한평,서울특별시 동대문구 장안동 472-3 장한평역,127.06029958264799,37.562420381984296,정좌표
군자(능동),"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",127.08050889524401,37.556719980384,정좌표
아차산(어린이대공원후문),서울특별시 광진구 능동 256-16 아차산역,127.08632334743601,37.55424355813221,정좌표
광나루(장신대),서울특별시 광진구 광장동 237 광나루역,127.10347841795,37.545162192215294,정좌표
천호(풍납토성),"서울특별시 강동구 천호동 455 천호역(5, 8호선)",127.125084766525,37.538491698101396,정좌표
강동,서울특별시 강동구 천호동 447 강동역,127.13410392776301,37.535772507227996,정좌표
길동,서울특별시 강동구 길동 378 길동역,127.13966738632,37.5385564487692,인근좌표
굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12 굽은다리역,127.14314309087901,37.5460436540771,정좌표
명일,서울특별시 강동구 명일동 312 명일역,127.142856057309,37.5535727954867,인근좌표
고덕,서울특별시 강동구 고덕동 310 고덕역,127.153829701859,37.5556175663199,정좌표
상일동,서울특별시 강동구 상일동 148 상일동역,127.156867907468,37.5534923155584,정좌표
둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역,127.139135072425,37.528079320885894,인근좌표
올림픽공원(한국체대),서울특별시 송파구 방이동 89-28 올림픽공원역,127.131109626807,37.5165422596284,정좌표
방이,서울특별시 송파구 방이동 217-2 방이역,127.125429227244,37.5080253301035,정좌표
오금,서울특별시 송파구 오금동 44-2 오금역,127.126143514308,37.5034036922304,정좌표
개롱,서울특별시 송파구 오금동 165-2 개롱역,127.133904522605,37.498681412799,인근좌표
거여,서울특별시 송파구 거여동 20-14 거여역,127.14200064244899,37.494240316656,정좌표
마천,서울특별시 송파구 마천동 307-4 마천역,127.15194099450501,37.4944429641999,정좌표
응암,서울특별시 은평구 역촌동 85-41 응암역,126.915309271403,37.5992782701805,정좌표
역촌,서울특별시 은평구 녹번동 144-69 역촌역,126.923274628978,37.6062124684918,정좌표
불광,서울특별시 은평구 대조동 14-1 불광역(6호선),126.929272425555,37.6105259768066,정좌표
독바위,서울특별시 은평구 불광동 13-33 독바위역,126.932832116037,37.6183676722191,정좌표
연신내,서울특별시 은평구 갈현동 397 연신내역,126.920826353328,37.6189210496265,정좌표
구산,서울특별시 은평구 구산동 1 구산역,126.91677753419901,37.611141843145795,인근좌표
새절(신사),서울특별시 은평구 신사동 337-5 새절역,126.91325941446999,37.591148701530706,정좌표
증산(명지대앞),서울특별시 은평구 증산동 199-8 증산역,126.909350929552,37.583639554522705,정좌표
디지털미디어시티,서울특별시 은평구 수색동 37-36 디지털미디어시티역,126.901603858204,37.5769304885611,정좌표
월드컵경기장(성산),서울특별시 마포구 성산동 420 월드컵경기장역,126.898854107232,37.5699945610431,인근좌표
마포구청,서울특별시 마포구 성산동 592 마포구청역,126.90286968765,37.564431339464605,인근좌표
망원,서울특별시 마포구 망원동 378 망원역,126.90972826222601,37.5555806814558,인근좌표
합정,서울특별시 마포구 합정동 414 합정역(6호선),126.91450147258001,37.549477336264,인근좌표
상수,서울특별시 마포구 상수동 309-10 상수역,126.92280559375,37.547982584145295,정좌표
광흥창(서강),서울특별시 마포구 창전동 145-17 광흥창역,126.93243576209,37.5474605192327,정좌표
대흥(서강대앞),서울특별시 마포구 대흥동 128-1 대흥역,126.94235304561701,37.547718149855896,정좌표
공덕,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",126.951170111072,37.54447613243379,정좌표
효창공원앞,서울특별시 용산구 효창동 80 효창공원앞역,126.960966225053,37.53962431074,정좌표
